日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
106/02/15,FB11 花椰菜 青梗 留梗柄,43.0,27.7,18.6,29.0,25201
106/02/16,FB11 花椰菜 青梗 留梗柄,45.5,25.9,17.6,28.2,22624
106/02/17,FB11 花椰菜 青梗 留梗柄,41.2,28.1,19.0,28.9,23717
106/02/18,FB11 花椰菜 青梗 留梗柄,45.8,29.4,20.1,30.8,21835
106/02/19,FB11 花椰菜 青梗 留梗柄,43.1,25.7,15.9,27.2,30267
106/02/21,FB11 花椰菜 青梗 留梗柄,36.7,25.6,14.0,25.5,39838
106/02/22,FB11 花椰菜 青梗 留梗柄,37.8,25.4,14.7,25.7,28720
106/02/23,FB11 花椰菜 青梗 留梗柄,33.6,21.1,13.7,22.1,27455
106/02/24,FB11 花椰菜 青梗 留梗柄,31.6,19.9,11.2,20.5,29950
106/02/25,FB11 花椰菜 青梗 留梗柄,29.7,18.1,10.8,18.9,27040
106/02/26,FB11 花椰菜 青梗 留梗柄,28.4,16.7,9.1,17.5,26009
106/02/28,FB11 花椰菜 青梗 留梗柄,32.0,21.9,13.9,22.3,30008
106/03/01,FB11 花椰菜 青梗 留梗柄,33.8,24.2,16.0,24.5,24073
106/03/02,FB11 花椰菜 青梗 留梗柄,33.7,22.4,14.8,23.1,27622
